Confident Matches (240),,,,,Need to be Checked (50),,,,,Not Likely (16),,,,,,
,,,,,,,,,,,,,,,5,Can't tell (type or different person?)
 Oke tch Gicheru, Oketch Gicheru, 97, Likely Matches,, M Kajwa ng’, Kajwang' Otieno, 63, Need to be Checked,,,,,,,,
 Ali Roba, Roba Ibrahim, 86, Likely Matches,, Mvurya , Murango Kamau, 60, Need to be Checked,,,,,,,,
 Munyi Mundigi, Munyi Mundigi, 100, Likely Matches,, Prof  Kamar, Margaret Kamar, 64, Need to be Checked,,,,,,,,
 Mumma, Catherine Mumma, 90, Likely Matches,, Madzayo , Kiplagat Mandago, 64, Need to be Checked,,,,,,,,
 Mun gatana MGH, Mungatana Buya, 71, Likely Matches,, Kibwana The point is, Hamida Kibwana, 64, Need to be Checked,,,,,,,,
 Oketch Gicheru, Oketch Gicheru, 100, Likely Matches,, Mpuri Aburi, Murungi Kathuri, 66, Need to be Checked,,,,,,,,
 Prof Tom Ojienda SC, Tom Ojienda,90,Likely Matches,, Senat or, Oginga Oburu, 56, Need to be Checked,,,,,,,,
 Thang’wa, Karungo Thangwa, 84, Likely Matches,, Shakila  Abdalla, Abdalla Mohamed, 64, Need to be Checked,,,,,,,,
 Kathuri , Murungi Kathuri, 90, Likely Matches,, Ma riam Omar, Margaret Kamar, 51, Need to be Checked,,,,,,,,
 Kathuri, Murungi Kathuri, 90, Likely Matches,,,,,,,,,,,,,
 Kathuri, Murungi Kathuri, 90, Likely Matches,,,,,,,,,,,,,
 Lomenen, Ekomwa Lomenen, 90, Likely Matches,,,,,,,,,,,,,
 Kisang, Kisang Kipkemoi, 90, Likely Matches,,,,,,,,,,,,,
 Dullo, Dullo Adan, 90, Likely Matches,,,,,,,,,,,,,
 Mbugua, George Mbugua, 90, Likely Matches,,,,,,,,,,,,,
 Mandago, Kiplagat Mandago, 90, Likely Matches,,,,,,,,,,,,,
 Korir, Joyce Korir, 90, Likely Matches,,,,,,,,,,,,,
 Omogeni, Mogeni Okongo, 77, Likely Matches,,,,,,,,,,,,,
 K athuri , Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 Mungatana  MGH, Mungatana Buya, 78, Likely Matches,,,,,,,,,,,,,
 Onyonka, Onyonka Momoima, 90, Likely Matches,,,,,,,,,,,,,
 Cheptumo, Kipkiror Cheptumo, 90, Likely Matches,,,,,,,,,,,,,
 Mungatan a MGH, Mungatana Buya, 71, Likely Matches,,,,,,,,,,,,,
 Githuku, Kamau Githuku, 90, Likely Matches,,,,,,,,,,,,,
  Lelegwe  Ltumbesi, Lelegwe Ltumbesi, 97, Likely Matches,,,,,,,,,,,,,
 Chesang, Chesang Kiprotich, 90, Likely Matches,,,,,,,,,,,,,
 Seki, Seki Kanar, 90, Likely Matches,,,,,,,,,,,,,
 Ogolla, Beatrice Ogolla, 90, Likely Matches,,,,,,,,,,,,,
 Ki ngi, Kingi, 91, Likely Matches,,,,,,,,,,,,,
  Lelegwe Ltumbesi, Lelegwe Ltumbesi, 100, Likely Matches,,,,,,,,,,,,,
 Mundigi, Munyi Mundigi, 90, Likely Matches,,,,,,,,,,,,,
 Thangw’a, Karungo Thangwa, 84, Likely Matches,,,,,,,,,,,,,
  Kathuri, Murungi Kathuri, 90, Likely Matches,,,,,,,,,,,,,
 Tom Ojienda SC, Tom Ojienda,95,Likely Matches,,,,,,,,,,,,,
 Lemaltian, Hezena Lemaletian, 80, Likely Matches,,,,,,,,,,,,,
 Veron ica Maina, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
 Mutinda, Mutinda Tabitha, 90, Likely Matches,,,,,,,,,,,,,
 Beth Syengo, Beth Syengo, 100, Likely Matches,,,,,,,,,,,,,
 Wam bua, Wambua Kiio, 77, Likely Matches,,,,,,,,,,,,,
 Cheruiyo t, Cheruiyot Kipkirui, 81, Likely Matches,,,,,,,,,,,,,
 Okiya Omtatah, Okoiti Omtatah, 81, Likely Matches,,,,,,,,,,,,,
 Cherargei, Cherarkey K, 70, Likely Matches,,,,,,,,,,,,,
 Veronicah  Maina, Veronica Nduati, 71, Likely Matches,,,,,,,,,,,,,
 Kib wana, Hamida Kibwana, 84, Likely Matches,,,,,,,,,,,,,
 Kibw ana, Hamida Kibwana, 84, Likely Matches,,,,,,,,,,,,,
 Okiyah Omtatah, Okoiti Omtatah, 79, Likely Matches,,,,,,,,,,,,,
 Veronicah Main a, Veronica Nduati, 71, Likely Matches,,,,,,,,,,,,,
   Khalwale, Khalwale Boni, 90, Likely Matches,,,,,,,,,,,,,
 Sifun a, Sifuna Watenya, 77, Likely Matches,,,,,,,,,,,,,
 M Kajwang, Kajwang' Otieno, 86, Likely Matches,,,,,,,,,,,,,
 Speaker  Kingi, Kingi, 90, Likely Matches,,,,,,,,,,,,,
 Cherar key, Cherarkey K, 86, Likely Matches,,,,,,,,,,,,,
 Montet Betty, Betty Montet, 95, Likely Matches,,,,,,,,,,,,,
 Oketch Giche ru, Oketch Gicheru, 97, Likely Matches,,,,,,,,,,,,,
  Kha lwale, Khalwale Boni, 73, Likely Matches,,,,,,,,,,,,,
 Oketch Gicher u, Oketch Gicheru, 97, Likely Matches,,,,,,,,,,,,,
 Boy, Boy Juma, 90, Likely Matches,,,,,,,,,,,,,
 Cry stal Asige, Crystal Asige, 96, Likely Matches,,,,,,,,,,,,,
 Njeru, Nyamu Njeri, 72, Likely Matches,,,,,,,,,,,,,
 Veronicah Maina, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
  Kingi, Kingi, 100, Likely Matches,,,,,,,,,,,,,
 Kingi, Kingi, 100, Likely Matches,,,,,,,,,,,,,
 Cher arkey, Cherarkey K, 86, Likely Matches,,,,,,,,,,,,,
 O kenyuri, Esther Okenyuri, 85, Likely Matches,,,,,,,,,,,,,
  Murang o, Murango Kamau, 80, Likely Matches,,,,,,,,,,,,,
 Wamatangi, Wamatinga Wahome, 70, Likely Matches,,,,,,,,,,,,,
 Nyamu, Nyamu Njeri, 90, Likely Matches,,,,,,,,,,,,,
  Olekina, Olekina Ledama, 90, Likely Matches,,,,,,,,,,,,,
 Tabith Mutinda, Mutinda Tabitha, 92, Likely Matches,,,,,,,,,,,,,
  Cheruiyot, Cheruiyot Kipkirui, 90, Likely Matches,,,,,,,,,,,,,
 Wakoli, Wakili Sigei, 75, Likely Matches,,,,,,,,,,,,,
 Mungatana M GH, Mwaruma M, 86, Likely Matches,,,,,,,,,,,,,
 Cheruiy ot, Cheruiyot Kipkirui, 81, Likely Matches,,,,,,,,,,,,,
 KIngi, Kingi, 100, Likely Matches,,,,,,,,,,,,,
  Kh alwale, Khalwale Boni, 73, Likely Matches,,,,,,,,,,,,,
 M umma, Mwaruma M, 86, Likely Matches,,,,,,,,,,,,,
 W amatinga, Wamatinga Wahome, 81, Likely Matches,,,,,,,,,,,,,
 veronica Maina, Veronica Nduati, 76, Likely Matches,,,,,,,,,,,,,
 King i, Kingi, 91, Likely Matches,,,,,,,,,,,,,
 C herargei, Cherarkey K, 67, Likely Matches,,,,,,,,,,,,,
 K ingi, Kingi, 91, Likely Matches,,,,,,,,,,,,,
 Veronica Main a, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
 Olek ina, Olekina Ledama, 79, Likely Matches,,,,,,,,,,,,,
 King, Kingi, 89, Likely Matches,,,,,,,,,,,,,
 Cheru iyot, Cheruiyot Kipkirui, 81, Likely Matches,,,,,,,,,,,,,
 Chera rkey, Cherarkey K, 86, Likely Matches,,,,,,,,,,,,,
 Ch erarkey, Cherarkey K, 86, Likely Matches,,,,,,,,,,,,,
 Wambu a, Wambua Kiio, 77, Likely Matches,,,,,,,,,,,,,
 Thang’ wa, Karungo Thangwa, 80, Likely Matches,,,,,,,,,,,,,
 Mun yi Mundigi, Munyi Mundigi, 96, Likely Matches,,,,,,,,,,,,,
  Khalwale , Khalwale Boni, 90, Likely Matches,,,,,,,,,,,,,
 Oketch Gacheru, Oketch Gicheru, 93, Likely Matches,,,,,,,,,,,,,
 Hezena Lemal etian, Hezena Lemaletian, 97, Likely Matches,,,,,,,,,,,,,
 Lemal etian, Hezena Lemaletian, 86, Likely Matches,,,,,,,,,,,,,
  Wakili Sigei, Wakili Sigei, 100, Likely Matches,,,,,,,,,,,,,
  Mungatana MGH, Mungatana Buya, 78, Likely Matches,,,,,,,,,,,,,
 Lemaletian, Hezena Lemaletian, 90, Likely Matches,,,,,,,,,,,,,
 Mungatan MGH, Mungatana Buya, 69, Likely Matches,,,,,,,,,,,,,
 Kin gi, Kingi, 91, Likely Matches,,,,,,,,,,,,,
 Kinyu a, Nderitu Kinyua, 83, Likely Matches,,,,,,,,,,,,,
 Kathu ri, Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 Kathur i, Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 K athuri, Murungi Kathuri, 84, Likely Matches,,,,,,,,,,,,,
 Oketch  Gicheru, Oketch Gicheru, 97, Likely Matches,,,,,,,,,,,,,
   Murango, Murango Kamau, 90, Likely Matches,,,,,,,,,,,,,
 Veronica Mania, Veronica Nduati, 76, Likely Matches,,,,,,,,,,,,,
 Okiya Omt atah, Okoiti Omtatah, 79, Likely Matches,,,,,,,,,,,,,
 Tabitha Mut inda, Mutinda Tabitha, 73, Likely Matches,,,,,,,,,,,,,
 Cherakey, Cherarkey K, 84, Likely Matches,,,,,,,,,,,,,
 Cheptum o, Kipkiror Cheptumo, 85, Likely Matches,,,,,,,,,,,,,
 Veronicah Maina , Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
  Muran go, Murango Kamau, 79, Likely Matches,,,,,,,,,,,,,
 Kingi , Kingi, 100, Likely Matches,,,,,,,,,,,,,
 Che ruiyot, Cheruiyot Kipkirui, 81, Likely Matches,,,,,,,,,,,,,
 Nyutu, Joe Nyutu, 90, Likely Matches,,,,,,,,,,,,,
 M  Kajwang’, Kajwang' Otieno, 86, Likely Matches,,,,,,,,,,,,,
 Mungatana, Mungatana Buya, 90, Likely Matches,,,,,,,,,,,,,
 Murango, Murango Kamau, 90, Likely Matches,,,,,,,,,,,,,
 Dullo , Dullo Adan, 90, Likely Matches,,,,,,,,,,,,,
 Olekin a, Olekina Ledama, 86, Likely Matches,,,,,,,,,,,,,
 Cheruiyot , Cheruiyot Kipkirui, 90, Likely Matches,,,,,,,,,,,,,
 Cheptumo , Kipkiror Cheptumo, 90, Likely Matches,,,,,,,,,,,,,
  Boni Khalwale, Khalwale Boni, 95, Likely Matches,,,,,,,,,,,,,
 Mohamed Faki, Haji Mohammed, 76, Likely Matches,,,,,,,,,,,,,
 Gloria Orwoba, Gloria Orwoba, 100, Likely Matches,,,,,,,,,,,,,
 Samson Cherar key, Cherarkey K, 78, Likely Matches,,,,,,,,,,,,,
 Andrew Okoiti Omtatah, Okoiti Omtatah, 90, Likely Matches,,,,,,,,,,,,,
 William Cheptumo, Kipkiror Cheptumo, 67, Likely Matches,,,,,,,,,,,,,
 Mohamed Said Chute, Chute Said, 86, Likely Matches,,,,,,,,,,,,,
 Miraj Abdillahi, Miraj Abdulrahman, 75, Likely Matches,,,,,,,,,,,,,
 Ekomwa James Lomenen, Ekomwa Lomenen, 95, Likely Matches,,,,,,,,,,,,,
 Maureen Tabitha Mutinda, Mutinda Tabitha, 86, Likely Matches,,,,,,,,,,,,,
 Methu John Muhia, Methu Muhia, 95, Likely Matches,,,,,,,,,,,,,
 Danson Mungatana, Mungatana Buya, 74, Likely Matches,,,,,,,,,,,,,
 Aaron Cheruiyot, Cheruiyot Kipkirui, 71, Likely Matches,,,,,,,,,,,,,
  James Kamau Murango, Murango Kamau, 95, Likely Matches,,,,,,,,,,,,,
 Joseph Nyutu Ngugi, Joe Nyutu, 86, Likely Matches,,,,,,,,,,,,,
 Wa matinga Wahome, Wamatinga Wahome, 97, Likely Matches,,,,,,,,,,,,,
 Kathuri Murungi, Murungi Kathuri, 95, Likely Matches,,,,,,,,,,,,,
  Murang’o, Murango Kamau, 80, Likely Matches,,,,,,,,,,,,,
 Beth  Syengo, Beth Syengo, 96, Likely Matches,,,,,,,,,,,,,
 W akili Sigei, Wakili Sigei, 96, Likely Matches,,,,,,,,,,,,,
 Ver onica Maina, Veronica Nduati, 73, Likely Matches,,,,,,,,,,,,,
 Cheptu mo, Kipkiror Cheptumo, 85, Likely Matches,,,,,,,,,,,,,
  Lelegwe Ltum besi, Lelegwe Ltumbesi, 97, Likely Matches,,,,,,,,,,,,,
 Ososti, Osotsi Atieno, 75, Likely Matches,,,,,,,,,,,,,
 Wakoli Wafula, David Wafula, 72, Likely Matches,,,,,,,,,,,,,
 Joe Nyu tu, Joe Nyutu, 95, Likely Matches,,,,,,,,,,,,,
